video_id,channel_name,video_title,freq_cut_per_video,video_duration_sec,dominant_color,view_count,title_word_count,video_category,is_for_kids,date_published_cleaned,key_dopamine_factor,dopamine_label
ntv_sYztDes,Master Speak English,My Family,1,271,White,569,2,Informative,0,25-07-2025,No Dominant Factor,0
vqVUZIFWfgg,Binge Central,The Most Expensive Celebrity Watches In The World,1,300,No Dominant Color,20109,8,Informative,0,26-04-2020,No Dominant Factor,0
zZo-5DZNnEo,Mystery Science,Why don't people fall out of roller coasters when they go upside down?,1,414,Multi Colors,3458634,13,Informative,1,12-10-2021,Discovery,1
1P3ZgLOy-w8,Green Tree Production,HOPE(2020),1,512,Blue,52574724,1,Entertainment ,1,06-08-2022,Unique Animation Style,1
Q4V9aQQLYtw,Life Guide,How to Overcome Failure,0,231,Brown,45433,4,Motivation,0,02-02-2025,Distinctive Sound Effects,0
BjkIOU5PhyQ,Walt Disney Animation Studios,Zootopia 2 Trailer,1,141,Multi Colors,1683006,3,Entertainment,1,30-07-2025,Unique Animation Style,1
_OLDuYynPZ0,Learning Made Simple,"Epic Opposite Adventures: The Ultimate Big & Small, Hot & Cold & More With Daily Used Sentences",1,479,No Dominant Color,111886,14,Entertainment,1,07-07-2025,No Dominant Factor,0
gf2BMnaHzUI,Red bull,Kyle Strait Demos an Epic Flat Table,0,84,Brown,73718,7,Education,0,03-07-2008,No Dominant Factor,0
Mgo7fNVihqI,Let Me Explain Studios,My Childhood Fears,0,540,Purple,12088799,3,Education,0,08-01-2022,Element of Surprise,1
h4SmxOHR2Pw,Vocal Motion Show Choir,"""God Only Knows"" with ""Awesome God"" ",1,279,Peach,525149,6,Music,0,17-04-2024,Catchy/Melodic Music,0
K6DSMZ8b3LE,Hopscotch,Seven Continents Song,0,122,Blue,80848379,3,Music,1,11-08-2017,Distinctive Sound Effects,1
pX2zvfD6GCY,The Independent,Zuckerberg and Senator Hawley clash in fiery child safety hearing,0,384,No Dominant Color,1418162,10,Informative,0,01-02-2024,No Dominant Factor,0
hsXB4Fn_qpk,AI Future Scenes25,â€œThe Terraced Eco-City of the Future: A Droneâ€™s Eye Viewâ€,0,118,Blue,571,11,Informative,0,05-07-2025,No Dominant Factor,0
4YLFGGdTTFc,Aquarium Info,I Made A LUCKY BAMBOO Axolotl Tank,1,195,Green,287953,7,Entertainment ,1,19-02-2021,Distinctive Sound Effects,1
7DEMQ0KkRQ4,Living Seed Animations,Stop PROVING Yourself,1,361,White,8105,3,Motivation,0,13-07-2025,No Dominant Factor,0
yApM21L0GgY,FORMULA 1,Race Highlights,1,484,Red,5040975,2,Entertainment,0,27-07-2025,Action Battle,1
SO7KnOctr_E,Whamtan,"Labatt Blue ""Nightclub"" Commercial from the early 1990's",1,30,No Dominant Color,2403,8,Advertisment,0,05-11-2012,No Dominant Factor,0
jdmPSjon6w4,Dantic,I Tried Gaming In EVERY Airplane Seat,1,1603,Multi Colors,33662506,7,Gaming,0,01-03-2025,Element of Surprise,1
